exam_id,qno,qtype,score,section,knowledge_point,co_code,indicator_code
1,1,单选题,10,第1章,示例基础概念,CO1,IND1
1,2,单选题,10,第2章,示例核心知识,CO1,IND1
1,3,填空题,15,第3章,示例关键方法,CO2,IND2
1,4,简答题,15,第4章,示例过程分析,CO2,IND2
1,5,综合题,25,第5章,示例综合应用,CO3,IND3
1,6,综合题,25,第6章,示例迁移优化,CO4,IND4
2,1,单选题,10,第1章,示例基础概念,CO1,IND1
2,2,单选题,10,第2章,示例核心知识,CO1,IND1
2,3,填空题,15,第3章,示例关键方法,CO2,IND2
2,4,简答题,15,第4章,示例过程分析,CO2,IND2
2,5,综合题,25,第5章,示例综合应用,CO3,IND3
2,6,综合题,25,第6章,示例迁移优化,CO4,IND4
3,1,单选题,10,第1章,示例基础概念,CO1,IND1
3,2,单选题,10,第2章,示例核心知识,CO1,IND1
3,3,填空题,15,第3章,示例关键方法,CO2,IND2
3,4,简答题,15,第4章,示例过程分析,CO2,IND2
3,5,综合题,25,第5章,示例综合应用,CO3,IND3
3,6,综合题,25,第6章,示例迁移优化,CO4,IND4
4,1,单选题,10,第1章,示例基础概念,CO1,IND1
4,2,单选题,10,第2章,示例核心知识,CO1,IND1
4,3,填空题,15,第3章,示例关键方法,CO2,IND2
4,4,简答题,15,第4章,示例过程分析,CO2,IND2
4,5,综合题,25,第5章,示例综合应用,CO3,IND3
4,6,综合题,25,第6章,示例迁移优化,CO4,IND4
5,1,单选题,10,第1章,示例基础概念,CO1,IND1
5,2,单选题,10,第2章,示例核心知识,CO1,IND1
5,3,填空题,15,第3章,示例关键方法,CO2,IND2
5,4,简答题,15,第4章,示例过程分析,CO2,IND2
5,5,综合题,25,第5章,示例综合应用,CO3,IND3
5,6,综合题,25,第6章,示例迁移优化,CO4,IND4
6,1,单选题,10,第1章,示例基础概念,CO1,IND1
6,2,单选题,10,第2章,示例核心知识,CO1,IND1
6,3,填空题,15,第3章,示例关键方法,CO2,IND2
6,4,简答题,15,第4章,示例过程分析,CO2,IND2
6,5,综合题,25,第5章,示例综合应用,CO3,IND3
6,6,综合题,25,第6章,示例迁移优化,CO4,IND4
